code,label_tr,latitude,longitude,source,notes
65,Van,38.50111,43.37306,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
66,Yozgat,39.66944,35.26917,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
67,Zonguldak,41.32056,31.73361,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
68,Aksaray,38.43083,33.86222,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
69,Bayburt,40.23667,40.22361,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
70,Karaman,37.01667,33.08333,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
71,Kırıkkale,39.86972,33.71611,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
72,Batman,38.08194,41.40722,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
73,Şırnak,37.51917,42.45417,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
74,Bartın,41.60444,32.51111,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
75,Ardahan,41.11306,42.82083,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
76,Iğdır,39.89361,43.99778,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
77,Yalova,40.64417,29.19361,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
78,Karabük,41.22361,32.64028,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
79,Kilis,36.80083,37.12389,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
80,Osmaniye,37.22806,36.21250,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
81,Düzce,40.94694,31.23806,"wikidata P625 (CC0), retrieved 2026-07-14","Province centroid/seat reference point; display-only, never an incident location"
